REGION,DIVISION,SCHOOL ID,NAME OF SCHOOL,MUNICIPALITY/ LOCATION,LD,NO. OF SITES,SCOPE OF WORKS,OTHER DESIGN CONFIGURATION,NO. OF ACADEMIC CLASSROOMS,NO. OF WORKSHOP (equivalent to 2-CL),NO. OF ICT/COMPUTER LABORATORY (equivalent to 2-CL),NO. OF SCIENCE LABORATORY (equivalent to 2-CL),NO. OF AVR (equivalent to 2-CL),NO. OF HOME ECONOMICS (equivalent to 2-CL),TOTAL CLASSROOMS,WITH DEMOLITION? YES/ NO,WITH SITE IMPROVEMENT? YES/ NO,WITH SLOPE PROTECTION? YES/NO,OTHER REMARKS,With Site Development Plan?,"With proposal from OTHER SOURCES, including LGUs, NGOs, Private Sector etc)?","Avaiability of Buildable Space
(Y/N)","OTHER REMARKS (Buildable Space)
",Site Ownership,"OTHER REMARKS
Site Ownership
","Viability / Accessibility
(Y/N)","OTHER REMARKS
Viability / Accessibility","Operational Readiness
(Y/N)","OTHER REMARKS
Operational Readiness
","Implementability of Proposed Scope
(Y/N)","OTHER REMARKS
Implementability of Proposed Scope
","Geotechnical Testing
(Y/N)","OTHER REMARKS
Geotechnical Testing
",Latitude,Longitude
CAR,Abra,134966,Agtangao ES,BANGUED (Capital),Lone ,1,2STY8CL,,4,0,1,1,0,0,8,NO,NO,NO,,"Yes, but NOT drawn to scale",NONE,Y,20 x 55,Titled,0,Y,0,Y,0,Y,0,Y,DPWH-ABRADEO implemented,17.56758,120.630268
CAR,Abra,134979,Bangued West CS,BANGUED (Capital),Lone ,1,2STY4CL,,2,0,1,0,0,0,4,NO,NO,NO,,"Yes, but NOT drawn to scale",NONE,Y,20 x 35,,0,Y,0,Y,0,Y,0,Y,DPWH-ABRADEO Soil Test Fund Request,17.6005478,120.6156676
CAR,Abra,134970,Calot Elementary School,BANGUED (Capital),Lone ,1,2STY4CL,,4,0,0,0,0,0,4,NO,NO,NO,,"Yes, but NOT drawn to scale",NONE,Y,20 x 35,,0,Y,0,Y,0,Y,0,0,0,17.520098,120.62313
CAR,Abra,134975,Sinalang Pilot ES,BANGUED (Capital),Lone ,1,Other Design,5STY8CL ON STILT,8,0,0,0,0,0,8,YES,YES,NO,Flood prone/CL ON STILTS,"Yes, but NOT drawn to scale",NONE,N,,,0,Y,0,Y,0,Y,0,Y,DPWH-ABRADEO implemented,17.574917,120.619093
CAR,Abra,134976,Sinapangan ES,BANGUED (Capital),Lone ,1,Other Design,3STY4CL ON STILT,4,0,0,0,0,0,4,YES,YES,NO,Flood prone/CL ON STILTS,"Yes, but NOT drawn to scale",NONE,N,,,0,Y,0,Y,0,Y,0,Y,DPWH-ABRADEO implemented,17.5941214,120.6123358
CAR,Abra,135030,Danglas CS,DANGLAS,Lone ,1,2STY4CL,,4,0,0,0,0,0,4,NO,NO,NO,,"Yes, but NOT drawn to scale",NONE,Y,20 x 35,,0,Y,0,Y,0,Y,0,Y,DPWH-ABRADEO Soil Test Fund Request,17.7055601,120.6908655
CAR,Abra,318701,MARC YSRAEL B. BERNOS MEMORIAL NATIONAL HIGH SCHOOL,LA PAZ,Lone ,1,2STY4CL,,2,0,0,1,0,0,4,NO,YES,YES,slopy area,"Yes, but NOT drawn to scale",NONE,Y,15 x 35,Deed of Sale,0,Y,0,Y,0,Y,0,Y,DPWH-ABRADEO implemented,17.6299449,120.6207503
CAR,Abra,135050,Baquero ES,LICUAN-BAAY (LICUAN),Lone ,1,2STY4CL,,4,0,0,0,0,0,4,YES,YES,YES,0,"Yes, but NOT drawn to scale",NONE,N,,,,Y,0,Y,0,Y,0,0,0,17.5711655,120.8997215
CAR,Abra,135046,Licuan-Baay Central School,LICUAN-BAAY (LICUAN),Lone ,1,2STY4CL,,4,0,0,0,0,0,4,NO,NO,NO,,"Yes, but NOT drawn to scale",NONE,Y,20 x 35,,0,Y,0,Y,0,Y,0,N,0,17.545761,120.868251
CAR,Apayao,502649, MALAYUGAN ES/IS,FLORA,Lone ,1,2STY8CL,,4,1,1,,,,8,NO,YES,NO,,"Yes, but NOT drawn to scale",none,y,20m x 50m,Deed of Donation ,,y,0,y,0,y,0,y,0,18.107038,121.454452
CAR,Apayao,305113,FLORA NATIONAL HIGH SCHOOL,FLORA,Lone ,1,2STY6CL,,6,0,0,0,0,0,6,NO,YES,YES,extended column,"Yes, but NOT drawn to scale",none,y,20m x 40m,deed of donatiom,,y,0,y,0,y,0,y,0,18.2180884,121.4210612
CAR,Apayao,305109,Sta. Marcela NHS,SANTA MARCELA,Lone ,1,2STY4CL,,4,0,0,0,0,0,4,NO,YES,YES,,"Yes, but NOT drawn to scale",none,5,15m x 32m,titled,,y,0,y,0,y,0,y,0,18.29456,121.43966
