Region,Old Region,Division,District,SCHOOL ID,School Name,No. of Sites,No. of Classroom,Scope of Works,Estimated Project Allocation,Site Ownership
CAR,CAR,Abra,La Paz,318701,MARC YSRAEL B. BERNOS MEMORIAL NATIONAL HIGH SCHOOL,1,8,2 storey 4 Classrooms with Site Levelling and Slope Protection,34000000,DOS
CAR,CAR,Apayao,Flora,502649,Malayugan Integrated School,1,4,2sty4cl,19000000,DOD
CAR,CAR,Benguet,La Trinidad,135620,Benguet SPED Center,1,6,CONSTRUCTION OF 3 STOREY 6 CLASSROOMS WITH  SITE ADAPTATION,30000000,DOD
CAR,CAR,Benguet,La Trinidad,135624,La Trinidad CS,1,12,CONSTRUCTION OF 3 STOREY 12 CLASSROOMS WITH  SITE ADAPTATION,45000000,TD
CAR,CAR,Benguet,Kapangan,305147,Kapangan Central National High School,1,16,CONSTRUCTION OF 4 STOREY 16 CLASSROOMS,59200000,TD
CAR,CAR,Benguet,Tuba,501951,Kiwas Integrated School,1,15,CONSTRUCTION OF 3 STY 15 CLASSROOMS WITH  SITE ADAPTATION,52500000,TD
CAR,CAR,Ifugao,Alfonso Lista I,305936,Potia National High School,1,12,3STY 6CL & 3 LAB,36000000,TCT / OCT
CAR,CAR,Ifugao,Banaue,319006,Banaue NHS Annex,1,8,4S4CL.2LAB,24000000,TD
CAR,CAR,Tabuk City,Southern Tabuk District III,136174,Malin-awa Elementary School,1,8,4STY8CL,24000000,TCT / OCT
CAR,CAR,Tabuk City,Eastern Tabuk District I,502483,Ipil Integrated School,1,6,2STY6CL,18000000,DOD
NCR,NCR,Caloocan City,Caloocan North III,136647,Pag-asa Elementary School,1,8,4STY8CL,32000000,PP
NCR,NCR,Caloocan City,Caloocan North III,305380,Tala High School,1,12,4STY12CL,48000000,DOD
NCR,NCR,City of San Juan,San Juan District I,305423,San Juan National High School,1,40,8ST-40CL,370000000,TD
NCR,NCR,City of San Juan,San Juan District I,502653,San Juan City Integrated School,1,24,6ST-24CL,150000000,TD
NCR,NCR,City of San Juan,San Juan District II,502655,Kabayanan Integrated School,1,24,6ST-24CL,150000000,TCT / OCT
NCR,NCR,Las Piñas City,Las Piñas City I,136781,Vergonville Elementary School,1,16,4STRY16CL,66500000,TCT / OCT
NCR,NCR,Las Piñas City,Las Piñas City II,136790,Talon Elementary School,1,20,4STRY20CL,70500000,TCT / OCT
NCR,NCR,Malabon City,Malabon District IV,305449,Potrero NHS,1,12,4sty12cl,72000000,TCT / OCT
NCR,NCR,Malabon City,Malabon District I,501208,Dampalit IS,1,12,4sty12cl,72000000,TCT / OCT
NCR,NCR,Mandaluyong City,Mandaluyong City District II,136669,Nueve de Febrero Elementary School,1,40,7 sty 40 CL,300000000,DOD
NCR,NCR,Mandaluyong City,Mandaluyong City District I,500331,Isaac Lopez Integrated School (Isaac Lopez ES),1,40,7 sty 40 CL,300000000,DOD
NCR,NCR,Mandaluyong City,Mandaluyong City District II,500332,Highway Hills Integrated School,1,50,10sty50cl,600000000,TCT / OCT
NCR,NCR,Mandaluyong City,Mandaluyong City District II,500336,Addition Hills Integrated School,1,40,7 sty 40 CL,300000000,UA
NCR,NCR,Mandaluyong City,Mandaluyong City District I,500500,Hulo Integrated School,1,40,7 sty 40 CL,300000000,TCT / OCT
NCR,NCR,Manila,Tondo VI,136430,Arsenio H. Lacson Elementary School,1,79,10STY 80CL,800000000,TCT / OCT
NCR,NCR,Manila,Tondo VII,136432,J. P. Rizal Elementary School,1,64,6STY 64CL,512000000,UA
NCR,NCR,Manila,Tondo IV,136426,Francisco Benitez Elementary School,1,36,9STY 36CL,360000000,TCT / OCT
NCR,NCR,Manila,Sampaloc II,136460,G. Lopez Jaena Elementary School,1,24,6STY 24CL,320000000,TD
NCR,NCR,Manila,Malate,319401,Pres. Corazon C. Aquino High School,1,82,8STY 88CL,572000000,TD
NCR,NCR,Manila,Pandacan I,136480,Bagong Barangay Elementary School,1,58,12STY 36CL,240000000,TCT / OCT
NCR,NCR,Marikina City,Marikina City District I,305401,Marikina Science HS,1,40,5STY40CL,320000000,TCT / OCT
NCR,NCR,Muntinlupa City,Muntinlupa City District I,136903,Muntinlupa ES,1,36,"4STY20CL, 4STY 8CL, 4STY8CL",180000000,TCT / OCT
NCR,NCR,Muntinlupa City,Muntinlupa City District I,136905,Soldiers' Hills ES,1,20,4STY20CL,100000000,TCT / OCT
NCR,NCR,Muntinlupa City,Muntinlupa City District I,136906,Tunasan ES,1,28,"4STY20CL, 4STY 8CL",140000000,TCT / OCT
NCR,NCR,Muntinlupa City,Muntinlupa City District II,320702,Muntinlupa Business HS - Sucat Annex,1,28,"4STY16CL, 4STY12CL",140000000,DOD
NCR,NCR,Navotas,Navotas District I,136856,Bagumbayan Elementary School,1,12,4STY12CL,77520000,TD
NCR,NCR,Navotas,Navotas District II,305455,Tanza National High School,1,4,4STY4CL,31920000,DOD
NCR,NCR,Navotas,Navotas District II,305458,San Roque National High School,1,20,4STY20CL,125400000,TD
NCR,NCR,Paranaque City,Paranaque City District I,305424,Paranaque National High School Main,1,80,8 Sty 80Cl,560000000,TCT / OCT
NCR,NCR,Paranaque City,Paranaque City District I,305427,Don Galo National High School,1,24,6 Sty 24,144000000,TD
NCR,NCR,Paranaque City,Paranaque City District II,136764,San Agustin Elementary School,1,24,6 Sty 24,144000000,TD
NCR,NCR,Pasig City,Pasig City District I,320102,Nagpayong High School,1,42,12STY42CL with 9 WORKSHOPS,750000000,TCT / OCT
NCR,NCR,Quezon City,School District II,305325,Masambong HS,1,24,4STY24CL,108000000,TD
NCR,NCR,Quezon City,School District XI,305332,Bagong Silangan HS,1,20,4STY20CL,90000000,TD
NCR,NCR,Quezon City,School District IX,136557,Cubao ES,1,16,4STY16CL,76500000,TCT / OCT
NCR,NCR,Quezon City,School District XII,136573,Pinyahan ES,1,32,4STY8CL & 4STY24CL,144000000,TCT / OCT
NCR,NCR,Quezon City,School District XVIII,305359,Quezon City High School,1,8,4STY8CL,36000000,DOD
NCR,NCR,Quezon City,School District IX,319504,Dona Rosario HS,1,16,4STY16CL,72000000,DOD
NCR,NCR,Taguig City and Pateros,Taguig District I,136872,Dr. Artemio. E. Natividad ES,1,8,4STY8CL,42061250,TD
NCR,NCR,Taguig City and Pateros,Taguig District II,501953,Kapt Jose Cardones Integrated School,1,16,4STY16CL,76643720,TD
NCR,NCR,Valenzuela City,Valenzuela City Central District,136795,Lingunan Elementary School,1,8,4STY 8CL,35150000,TCT / OCT
NCR,NCR,Valenzuela City,Valenzuela City North District,136802,Coloong Elementary School,1,8,4STY 8CL,42150000,TCT / OCT
NCR,NCR,Valenzuela City,Valenzuela City North District,136810,Luis Francisco Elementary School,1,12,4STY 12CL,50150000,TCT / OCT
NCR,NCR,Valenzuela City,Valenzuela City Central District,305439,Canumay West National High School,1,16,4STY 8CL,70300000,TCT / OCT
NCR,NCR,Valenzuela City,Valenzuela City Central District,305565,Punturin Senior High School,1,24,2 units -4STY 12CL ,96000000,TCT / OCT
NCR,NCR,Valenzuela City,Valenzuela City Central District,320404,Bignay National High School,1,12,4STY 12CL,50150000,TD
