Region,Division,School ID,School Name,Estimated Cost,Year
CAR,Baguio City,136380,Adiwang Elementary School,5000000,2027
CAR,Baguio City,136381,Aguinaldo Elementary School,5000000,2025
CAR,Baguio City,136382,Baguio Central school,4000000,2025
CAR,Baguio City,136383,Dominican-Mirador Elementary School,5000000,2027
CAR,Baguio City,136384,Dontogan Elementary School,5000000,2026
CAR,Baguio City,136385,Josefa Cariño Elementary School,5000000,2026
CAR,Baguio City,136386,Pacday Quinio Elementary School,5000000,2028
CAR,Baguio City,136387,Quezon Hill Elementary School,4000000,2029
CAR,Baguio City,136388,Elpidio R. Quirino Elementary School,4000000,2029
CAR,Baguio City,136389,San Carlos Heights Elementary School,5000000,2027
CAR,Baguio City,136390,San Luis Elementary School,5000000,2027
CAR,Baguio City,136391,Sto. Tomas Elementary School,5000000,2025
CAR,Baguio City,136392,Alfonso Tabora ES,5000000,2027
CAR,Baguio City,136393,Bonifacio Elementary school,5000000,2025
CAR,Baguio City,136394,Lucban Elementary school,4000000,2025
CAR,Baguio City,136395,Magsaysay Elementary School,5000000,2028
CAR,Baguio City,136396,Pinget Elementary School,4000000,2028
CAR,Baguio City,136397,Pinsao Elementary School,5000000,2029
CAR,Baguio City,136398,Quirino Hill ES,5000000,2027
CAR,Baguio City,136399,Don Mariano Marcos Elementary School,5000000,2025
CAR,Baguio City,136400,Dona Aurora Elementary School,4000000,2029
CAR,Baguio City,136401,Doña Nicasia Puyat ES,5000000,2026
CAR,Baguio City,136402,Gibraltar Elementary School,5000000,2026
CAR,Baguio City,136403,Apolinario Mabini ES,4000000,2025
CAR,Baguio City,136404,Rizal Elementary School,4000000,2025
CAR,Baguio City,136405,Bakakeng Elementary School,4000000,2029
CAR,Baguio City,136406,Camp 7 Elementary School,5000000,2027
CAR,Baguio City,136407,Crystal Cave Integrated    School,5000000,2027
CAR,Baguio City,136408,Dona Aurora H. Bueno Elementary School,5000000,2026
CAR,Baguio City,136410,Happy Hollow Elementary School,5000000,2028
CAR,Baguio City,136411,Jose P. Laurel Elementary School,5000000,2026
CAR,Baguio City,136412,Lindawan Elementary School,5000000,2026
CAR,Baguio City,136413,Loakan Elementary School,4000000,2029
CAR,Baguio City,136414,Manuel L. Quezon Elementary School,4000000,2025
CAR,Baguio City,136415,Manuel A. Roxas Elementary School,5000000,2028
CAR,Baguio City,136416,San Vicente Elementary School,4000000,2025
CAR,Baguio City,136417,SPED Center (FL),4000000,2025
CAR,Baguio City,221501,Kias Elementary School,5000000,2026
CAR,Baguio City,221502,Baguio Country Club Village Elementary School,5000000,2027
CAR,Baguio City,221503,Springhills Elementary School,5000000,2027
CAR,Baguio City,221504,Brookspoint Elementary School,5000000,2027
CAR,Baguio City,221505,Irisan Elementary School,5000000,2028
CAR,Baguio City,221506,Fairview Elementary School,5000000,2026
CAR,Baguio City,221507,Holy Ghost Extension ES,5000000,2028
CAR,Baguio City,305269,Baguio City High School - Main,4000000,2025
CAR,Baguio City,305270,Dona Aurora National High School,5000000,2026
CAR,Baguio City,305271,Bakakeng National High School,4000000,2029
CAR,Baguio City,305273,Happy Hollow National High School,5000000,2028
CAR,Baguio City,305274,Lindawan National High School,5000000,2026
CAR,Baguio City,305275,Mil-an National High School,4000000,2025
CAR,Baguio City,305276,Rizal National High School,4000000,2029
CAR,Baguio City,305277,Roxas National High School,5000000,2027
CAR,Baguio City,305278,San Vicente National High School (Integrated Senior High School),4000000,2029
CAR,Baguio City,305279,Sto. Tomas National High School,4000000,2029
CAR,Baguio City,305280,Irisan National High School,4000000,2029
CAR,Baguio City,305281,Pines City National High School,4000000,2028
CAR,Baguio City,305282,Guisad Valley National High School,4000000,2029
CAR,Baguio City,305283,Magsaysay National High School,4000000,2028
CAR,Baguio City,305284,Joaquin Smith National High School,4000000,2029
CAR,Baguio City,305285,Pinsao National High School,5000000,2029
CAR,Baguio City,305286,Pinget National High School,4000000,2028
CAR,Baguio City,305287,Quezon Hill National High School,5000000,2027
CAR,Baguio City,319302,Dominican-Mirador National High School,5000000,2028
CAR,Baguio City,319304,Hillside National High School,5000000,2028
CAR,Benguet,135660,Marivic Elementary School,4500000,2026
CAR,Benguet,135373,Beckes Pol-oc PS,2500000,2026
CAR,Benguet,135376,Bonglo ES,3000000,2027
CAR,Benguet,135377,Bosleng Elementary School,2500000,2027
CAR,Benguet,135378,Busoc PS,2500000,2026
CAR,Benguet,135380,Calasipan ES,2500000,2027
CAR,Benguet,135381,Balansi Arenos ES (formerly Caliking ES),2500000,2028
CAR,Benguet,135382,Camp 30 ES,3000000,2026
CAR,Benguet,135383,Celo Haight Elementary School,2886210.964,2026
CAR,Benguet,135385,Dalmacio Miguel PS,2500000,2028
CAR,Benguet,135387,Englandad PS,2050176.21,2028
CAR,Benguet,135388,Filomena P. Cating ES,5000000,2028
CAR,Benguet,135390,Inuman Primary School,2500000,2028
CAR,Benguet,135391,Ja'pa ES,2500000,2028
CAR,Benguet,135392,Mauro P. Laruan ES,3000000,2026
CAR,Benguet,135393,Naguey ES,3000000,2030
CAR,Benguet,135394,Oyusan PS,2317590.49,2030
CAR,Benguet,135395,Pasdong ES,5000000,2030
CAR,Benguet,135396,Sabdjat Primary School,5000000,2030
CAR,Benguet,135397,Topdac ES,5000000,2026
CAR,Benguet,135398,Rufino Alawas ES (Tulodan ES),5000000,2030
CAR,Benguet,305130,Camp 30 National High School,2495866.68,2025
CAR,Benguet,306057,Franklin Guy Haight National High School,10000000,2026
CAR,Benguet,502170,Boneng Integrated School,10000000,2026
CAR,Benguet,502619,Cagui-ing Integrated School,2500000,2027
CAR,Benguet,135403,Bakun Central School,3500000,2030
